Site,Date,Time_hours,WaterTemp,WindDir,WindSpeed,AirPressure,Vis_Code,Depth,Habitat,Month,Year,Day,StudyYear,Protection,Region,Total_Time,Season
BB8,20/03/2018,12,14.5,SSE,17,1012.3,1,5.8,Sand,3,2018,20,2,Protected,Betty's Bay,62.81666667,Summer-Fall
BB8,10/07/2018,10.71666667,14.9,SE,6,1022.7,3,7,Rocky reef,7,2018,10,2,Protected,Betty's Bay,61.05,Winter-Spring
BB80,02/03/2017,12.25,13,SE,13,1007,4,28,Rocky reef,3,2017,2,1,Protected,Betty's Bay,83.91666667,Summer-Fall
BB80,11/10/2017,11.01666667,14.7,WSW,17,1015,3,28,Rocky reef,10,2017,11,2,Protected,Betty's Bay,66.03333333,Winter-Spring
BB80,09/07/2018,12.06666667,14,NW,17,1021.3,1,22,Sand,7,2018,9,2,Protected,Betty's Bay,52.23333333,Winter-Spring
BB81,08/03/2017,9.633333333,16,S,13,1012,2,30,Rocky reef,3,2017,8,1,Protected,Betty's Bay,86.08333333,Summer-Fall
BB81,24/07/2017,11.51666667,14.9,NNW,13,1025,3,20,Rocky reef,7,2017,24,1,Protected,Betty's Bay,64.66666667,Winter-Spring
BB81,10/07/2018,12.01666667,14.7,SE,1.9,1028,3,27,Rocky reef,7,2018,10,2,Protected,Betty's Bay,62.88333333,Winter-Spring
BB82,16/03/2017,9.066666667,14,S,3,1014,3,12.1,Kelp,3,2017,16,1,Unprotected,Betty's Bay,70.1,Summer-Fall
BB82,30/10/2017,9.033333333,16,E,21,1016,3,13.9,Kelp,10,2017,30,2,Unprotected,Betty's Bay,59.66666667,Winter-Spring
BB82,20/03/2018,10.61666667,15,NA,NA,NA,2,12.5,Kelp,3,2018,20,2,Unprotected,Betty's Bay,63.03333333,Summer-Fall
BB82,09/07/2018,12.06666667,15,NW,17,1021.3,2,14,Kelp,7,2018,9,2,Unprotected,Betty's Bay,67.4,Winter-Spring
BB83,02/03/2017,8.866666667,13,ESE,22.5,1008,4,13,Kelp,3,2017,2,1,Unprotected,Betty's Bay,56.18333333,Summer-Fall
BB83,30/10/2017,10.75,17.6,E,21,1016,3,13,Rocky reef,10,2017,30,2,Unprotected,Betty's Bay,76.28333333,Winter-Spring
BB83,20/03/2018,10.66666667,14.7,NA,NA,NA,3,13.6,Kelp,3,2018,20,2,Unprotected,Betty's Bay,73.31666667,Summer-Fall
BB84,01/04/2017,13.98333333,19,S,19,1015,2,15.8,Kelp,4,2017,1,1,Unprotected,Betty's Bay,62.56666667,Summer-Fall
BB84,30/10/2017,9.166666667,16.3,ENE,22,1016,3,11.5,Rocky reef,10,2017,30,2,Unprotected,Betty's Bay,57.93333333,Winter-Spring
BB84,09/07/2018,10.36666667,14.9,NW,17,1021.3,1,19,Sand,7,2018,9,2,Unprotected,Betty's Bay,62.35,Winter-Spring
BB85,11/03/2017,12.3,14,NW,33,1011,2,11.5,Sand,3,2017,11,1,Unprotected,Betty's Bay,71.81666667,Summer-Fall
BB85,06/05/2018,NA,17.2,NA,NA,NA,1,10,Sand,5,2018,6,2,Unprotected,Betty's Bay,69.78333333,Summer-Fall
BB85,09/07/2018,9.233333333,15,N,12,1022,1,10,Sand,7,2018,9,2,Unprotected,Betty's Bay,66.5,Winter-Spring
BB86,11/03/2017,10.73333333,13.5,WNW,30,1011,4,30,Sand,3,2017,11,1,Unprotected,Betty's Bay,65.9,Summer-Fall
BB86,30/10/2017,10.83333333,16.5,E,21,1016,3,18,Sand,10,2017,30,2,Unprotected,Betty's Bay,76.18333333,Winter-Spring
BB86,20/03/2018,9.166666667,17.7,SW,0,1014.3,3,14.3,Rocky reef,3,2018,20,2,Unprotected,Betty's Bay,37.78333333,Summer-Fall
BB86,09/07/2018,12.01666667,14.9,NW,17,1021.3,1,18,Sand,7,2018,9,2,Unprotected,Betty's Bay,64.55,Winter-Spring
BB87,02/03/2017,12.31666667,13,SE,13,1007,4,16.7,Rocky reef,3,2017,2,1,Protected,Betty's Bay,70.41666667,Summer-Fall
BB87,30/10/2017,12.21666667,16.5,ESE,20,1015,3,17,Rocky reef,10,2017,30,2,Protected,Betty's Bay,64.41666667,Winter-Spring
BB88,23/03/2017,8.783333333,18,WSW,11,1015,2,34.8,Sand,3,2017,23,1,Protected,Betty's Bay,64.46666667,Summer-Fall
BB88,24/07/2017,9.733333333,14.7,NNE,8,1028,3,35,Rocky reef,7,2017,24,1,Protected,Betty's Bay,70.93333333,Winter-Spring
BB88,20/03/2018,14.11666667,15.7,NW,22,1014.3,3,32.1,Rocky reef,3,2018,20,2,Protected,Betty's Bay,58.83333333,Summer-Fall
BB88,09/07/2018,13.48333333,15,NW,17,1021.3,1,33,Rocky reef,7,2018,9,2,Protected,Betty's Bay,60.43333333,Winter-Spring
BB9,01/03/2017,12,14,SE,15,1016,4,20.8,Kelp,3,2017,1,1,Protected,Betty's Bay,58.4,Summer-Fall
BB9,20/03/2018,12.4,14.8,SSE,17,NA,3,10.8,Kelp,3,2018,20,2,Protected,Betty's Bay,82.13333333,Summer-Fall
BB90,08/03/2017,13.43333333,18,S,14.8,1012,4,28.2,Rocky reef,3,2017,8,1,Unprotected,Betty's Bay,63.26666667,Summer-Fall
BB90,24/07/2017,11.46666667,14.9,NNW,13,1025,3,21.8,Rocky reef,7,2017,24,1,Unprotected,Betty's Bay,40.01666667,Winter-Spring
